timeStamps;magnitude;shape
('2017 1 9', '2017 1 15');-15.525926310134945;2082.38495614136
('2018 1 8', '2018 1 14');-13.06259488702308;2293.789956975463
('2018 1 15', '2018 1 21');-19.388396026588865;4544.967560494417
('2018 11 12', '2018 11 18');26.974497087762575;242.31838082781422
('2018 11 26', '2018 12 2');45.54547945032282;1674.6338047543895
('2018 12 3', '2018 12 9');14.44536556019759;61.32466912912036
('2018 12 10', '2018 12 16');19.122966663413226;804.6749237790534
('2018 12 17', '2018 12 23');69.63560676177761;3368.227217815676
('2018 12 24', '2018 12 30');32.72520356972902;461.2781081032656
('2019 2 11', '2019 2 17');48.84754012512453;2993.5802249196313
('2019 12 9', '2019 12 15');-29.017359417789677;3812.1274370315045
('2019 12 23', '2019 12 29');16.817811316653252;287.8991711505365
('2019 12 30', '2020 1 5');17.185301333550186;205.91180089171718
('2020 1 6', '2020 1 12');14.138752924657542;175.41388748511218
('2020 2 10', '2020 2 16');13.494477738911193;352.5702524044172
('2020 2 24', '2020 3 1');-5.205817007097288;564.7175491598009
('2020 4 6', '2020 4 12');-12.95157846238967;24.94222536898402
('2020 6 1', '2020 6 7');-13.862989732288689;636.8246678234023
('2020 7 6', '2020 7 12');-11.169790369992295;474.7867825929253
('2020 7 13', '2020 7 19');-13.305909360818264;112.91236345596604
('2020 8 24', '2020 8 30');-12.388573917747722;357.8911175187276
('2020 11 23', '2020 11 29');38.37541824142392;3253.5454790389135
('2021 2 8', '2021 2 14');-9.31251113441016;421.92200210740043
('2021 5 17', '2021 5 23');-16.559482908737127;875.6433375796967
('2021 8 23', '2021 8 29');-23.256184261326897;891.4286375525187
('2021 10 18', '2021 10 24');-5.866457232186107;529.793533876475
('2021 12 13', '2021 12 19');29.8385697928799;1693.784807945161
('2021 12 20', '2021 12 26');19.772272774154434;391.4959289315161
('2022 6 13', '2022 6 19');-14.982717566989425;2096.9279946057154
('2022 6 20', '2022 6 26');-46.25431430546892;3659.5078129118174
