timeStamps;magnitude;shape
('2017 1 9', '2017 1 15');-18.800281186017347;1985.3464750677986
('2017 3 27', '2017 4 2');-31.749663191850168;3634.379089996191
('2018 2 26', '2018 3 4');-31.064857704051057;3677.52958200415
('2018 7 30', '2018 8 5');8.874115880327246;116.22112732593622
('2018 11 26', '2018 12 2');67.62705992984786;1929.8490290315408
('2018 12 3', '2018 12 9');19.91972588262116;42.48737907472886
('2018 12 10', '2018 12 16');38.226685301445556;3288.54229251309
('2018 12 17', '2018 12 23');69.01396569390909;3423.378030190014
('2018 12 24', '2018 12 30');69.81470599602252;1972.6771926963352
('2019 2 11', '2019 2 17');46.389505704027584;208.33119719167564
('2019 7 8', '2019 7 14');-17.343534082822593;851.5381982792858
('2019 12 9', '2019 12 15');-29.096912641052327;3808.754108002525
('2019 12 23', '2019 12 29');17.10125605663105;130.64032887497197
('2020 4 6', '2020 4 12');-10.113503993963077;407.0319172632352
('2020 5 11', '2020 5 17');-17.176720277803255;448.07128548242025
('2020 6 8', '2020 6 14');-22.225163373938948;118.49496303933533
('2020 6 15', '2020 6 21');-10.516760181747378;206.84686941359018
('2020 6 29', '2020 7 5');-19.09580157545612;799.5089197451236
('2020 7 6', '2020 7 12');-26.67805990119816;1799.5072244175522
('2020 7 13', '2020 7 19');-15.504280251292736;176.2270031273933
('2021 6 7', '2021 6 13');-13.53646154292699;427.3231477980684
('2021 6 28', '2021 7 4');-17.06722728825165;2033.889591806464
('2021 7 5', '2021 7 11');-13.144456297784949;350.12352621602605
('2021 7 12', '2021 7 18');-18.12249938565756;104.70118728668379
('2021 8 16', '2021 8 22');-32.60672845546718;749.1844873021673
('2021 12 13', '2021 12 19');18.527487949376862;56.417008471676695
('2021 12 20', '2021 12 26');23.70073613543978;360.18430619114724
('2022 5 23', '2022 5 29');-12.01302342276336;170.91740369131185
('2022 6 13', '2022 6 19');-8.369082464219883;505.004831869855
('2022 7 4', '2022 7 10');14.085388837652953;247.8032897910913
