date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2017-12-29;;;;2.037162685298699;;;;;
2017-12-30;;2.143062542031078;;;3.567460997421534;;;;
2018-01-08;;;;2.037162685298699;;;;;
2018-01-12;;;4.289140043850912;2.2695373563867136;2.13765404037977;-2.1688654483370535;;;
2018-01-13;;;;2.4244538037787233;;-2.1688654483370535;;;
2018-01-18;;;5.37910678386519;2.4244538037787233;2.0076715897396094;;;;
2018-01-19;;;2.741918964123329;2.037162685298699;2.2351408783598905;;;;
2018-01-20;;;2.789771162465419;2.114620908994704;2.2351408783598905;;;;
2018-01-21;;;2.842940271734408;2.037162685298699;2.2351408783598905;;;;
2018-01-22;;;;;2.495105779640211;;;;
2018-01-23;;;;;;-2.1688654483370535;;;
2018-01-24;;;;;;-2.1036244257446226;;;
2018-01-29;;;;2.2695373563867136;2.527601392300251;-2.0383834031521917;;;
2018-02-14;;;3.597941623354054;3.5863271592187953;4.542329377222736;;;;4.664238618666394
2018-02-15;;;3.0290321541758702;2.7342866985627423;3.4374785467813735;-2.1688654483370535;;;3.7066275138565214
2018-03-05;;;;2.3469955800827185;;;;;
2018-03-11;;;;;;2.2675240879482472;;;
2018-03-30;;;;;;2.006559997578524;;;
2018-04-18;;;;;;;;2.9132993326831778;
2018-04-20;;;;;;;2.0008684447836367;;
2018-04-21;;;;;;;2.0008684447836367;;
2018-05-20;;;;;;2.006559997578524;;;
2018-05-21;;;;;;;;2.1772419238880936;
2018-05-25;;;;;;2.332765110540678;;;
2018-06-20;;;;;;;;2.1772419238880936;
2018-07-10;;;;;;2.593729200910402;;;
2018-08-03;;;2.056037454553369;;;;;;2.3951166529212617
2018-08-04;3.7018787566339313;;;;;;2.4012075338939614;2.1772419238880936;
2018-09-11;;;;;;;;3.465342389279491;
2018-09-29;;;;;;2.332765110540678;;;
2018-09-30;;;;;;2.8546932912801255;;;
2018-10-10;;;2.2474462479217294;2.114620908994704;;;;;2.8031422541011204
2018-11-14;2.2331067703443828;3.3596805894135637;3.587307801500256;;3.1125224201809725;;2.1343148078204117;;3.3152560188472693
2018-11-15;2.5051015826202243;2.2403919858216765;4.895267889517389;;3.8274258987018546;;3.068439349077835;;3.8315333101360705
2018-11-16;2.66829846998573;;4.246604756435722;;3.729939060721734;;2.9349929860410606;;3.8315333101360705
2018-11-17;2.1424418329191015;;3.581990890573357;;2.430114554320131;;2.1343148078204117;;3.6275205095461405
2018-11-23;2.468835607650113;;;;;;;;
2018-11-24;2.0155109205237087;;;;;;;3.0973136848819487;
2018-11-26;2.106175857948989;;;;;;;;
2018-11-27;3.5024158942983137;;2.646214567439148;;2.430114554320131;;;2.3612562760868645;2.7157081967054366
2018-11-28;6.439959866877412;2.3863861515075753;5.554564844452855;2.3469955800827185;4.542329377222736;;3.335332075151385;3.649356741478262;4.52684224275889
2018-11-29;3.99200655639483;;3.3905820972049963;2.114620908994704;2.527601392300251;;2.2677611708571863;;3.094589112086734
2018-11-30;3.7562777190891;;3.5660401577926604;2.4244538037787233;2.0401672023996498;;;2.1772419238880936;2.886412784954153
2018-12-01;4.844256968192469;;3.2098071256904332;2.037162685298699;2.17014965303981;;2.1343148078204117;2.3612562760868645;3.1653690633118114
2018-12-02;5.388246592744155;2.4837155952981735;4.220020201801227;2.037162685298699;2.430114554320131;;;3.28132803708072;3.9023132613611473
2018-12-03;4.717326055797076;;4.9803384643477715;;3.4374785467813735;;;;4.451898764991161
2018-12-04;2.795229382381123;;2.034769810845773;;2.13765404037977;;;;
