timeStamps;magnitude;shape
('2017 1 16', '2017 1 22');86.4036237767144;2556.172877833978
('2017 1 23', '2017 1 29');33.31365054784979;3664.1428715164843
('2017 2 20', '2017 2 26');9.826883659241302;1092.394678892857
('2017 4 10', '2017 4 16');-9.453576608972629;139.293415334995
('2017 5 29', '2017 6 4');-7.370968179532245;530.687967465386
('2018 9 10', '2018 9 16');12.051533683311037;363.8570651670337
('2018 11 26', '2018 12 2');17.775648288946797;166.7818981692905
('2018 12 10', '2018 12 16');11.219730764000285;203.65525849899586
('2018 12 24', '2018 12 30');14.511561874214411;191.33051269080204
('2019 1 21', '2019 1 27');33.14484435431304;552.7998040048172
('2019 2 4', '2019 2 10');10.269480494631708;1839.866681483633
('2019 2 11', '2019 2 17');75.83070414485044;3370.504765955889
('2019 7 1', '2019 7 7');-8.750576303791242;196.69890368501817
('2019 7 29', '2019 8 4');10.539753287676554;235.1556520205818
('2019 11 18', '2019 11 24');14.751545282169294;332.6443755337915
('2020 1 13', '2020 1 19');4.132154675754011;273.7517330352261
('2020 2 24', '2020 3 1');-34.07829057370427;3508.3353750620954
('2020 4 13', '2020 4 19');-16.130773157782816;304.97833750727165
('2020 4 20', '2020 4 26');-11.30411201512428;38.75610494795823
('2020 4 27', '2020 5 3');-14.911336431777542;12.843060000548746
('2020 5 4', '2020 5 10');-18.01549212765979;112.40266468234333
('2020 5 11', '2020 5 17');-14.911336431777542;12.843060000548746
('2020 6 1', '2020 6 7');-13.767457329357232;64.36355456404479
('2020 6 8', '2020 6 14');-110.210497792463;1533.471498485826
('2020 6 15', '2020 6 21');-14.954267205810062;989.4885428486127
('2020 6 22', '2020 6 28');-38.04089537429409;2083.375306751507
('2020 6 29', '2020 7 5');-17.003041830139708;64.63781558626921
('2020 7 6', '2020 7 12');-19.249586502704787;459.7930354089087
('2020 7 20', '2020 7 26');-20.321398288032746;400.074367962105
('2020 7 27', '2020 8 2');-29.93168378573058;849.4016846861332
