date,BEN,CO,MXIL,NO2,NO,O3,PM2_5,SO2,TOL,anomaly
2018-12-02,3.6,0.95,9.39,54.0,98.0,11.0,26.0,26.0,11.82,1
2018-12-03,3.23,0.8,10.82,52.0,129.0,11.0,22.0,11.0,13.14,1
2018-12-04,2.17,0.55,5.28,32.0,89.0,12.0,17.0,16.0,6.82,1
2018-12-05,2.46,0.58,7.46,42.0,88.0,13.0,19.0,16.0,9.23,1
2018-12-06,2.65,0.57,6.69,36.0,67.0,18.0,21.0,11.0,8.85,1
2018-12-07,1.91,0.52,5.42,45.0,58.0,22.0,17.0,12.0,8.64,1
2018-12-08,1.95,0.55,5.42,50.0,61.0,17.0,20.0,17.0,8.03,1
2018-12-09,1.47,0.41,2.76,37.0,26.0,26.0,17.0,15.0,4.83,1
2018-12-10,2.39,0.53,6.43,50.0,91.0,14.0,26.0,12.0,9.02,1
2018-12-11,3.75,0.75,9.8,62.0,147.0,10.0,42.0,25.0,12.17,1
2018-12-12,2.55,0.51,4.84,52.0,55.0,17.0,26.0,24.0,7.68,1
2018-12-13,0.71,0.34,1.56,39.0,16.0,48.0,9.0,9.0,2.59,1
2018-12-14,1.18,0.43,2.99,55.0,52.0,31.0,15.0,11.0,4.51,1
2018-12-15,1.49,0.42,4.37,41.0,44.0,25.0,14.0,9.0,6.81,1
2018-12-16,0.73,0.3,1.49,32.0,9.0,48.0,7.0,10.0,2.67,1
2018-12-17,2.27,0.54,7.64,64.0,95.0,15.0,22.0,19.0,9.21,1
2018-12-18,1.27,0.32,4.37,38.0,46.0,43.0,14.0,7.0,4.34,1
2018-12-19,1.55,0.41,4.31,52.0,46.0,29.0,14.0,12.0,6.18,1
2018-12-20,3.03,0.74,9.77,76.0,158.0,15.0,28.0,22.0,11.92,1
2018-12-21,4.96,1.25,19.77,96.0,309.0,14.0,45.0,20.0,21.79,-1
2018-12-22,3.22,0.74,10.6,55.0,126.0,14.0,29.0,14.0,13.27,1
2018-12-23,2.68,0.61,6.62,42.0,86.0,11.0,27.0,20.0,8.46,1
2018-12-24,3.36,0.8,10.89,50.0,145.0,11.0,36.0,20.0,10.36,1
2018-12-25,2.89,0.83,6.86,35.0,83.0,13.0,37.0,14.0,8.15,1
2018-12-26,4.09,0.9,11.11,64.0,221.0,11.0,47.0,20.0,14.01,-1
2018-12-27,3.25,0.61,9.13,58.0,135.0,13.0,35.0,26.0,10.97,1
2018-12-28,2.72,0.55,8.31,56.0,85.0,12.0,35.0,30.0,9.75,1
2018-12-29,2.09,0.38,5.04,40.0,44.0,20.0,27.0,7.0,6.78,1
2018-12-30,1.74,0.36,3.42,32.0,47.0,21.0,30.0,8.0,5.02,1
2018-12-31,2.43,0.66,4.28,41.54,92.92,13.45,38.12,11.0,6.3,1
2019-01-01,1.68,0.36,1.92,28.0,43.17,23.87,32.98,6.92,3.61,1
2019-01-02,0.72,0.16,0.93,32.71,10.0,34.0,16.64,6.0,1.96,1
2019-01-03,1.68,0.34,4.97,50.23,86.14,20.31,25.53,5.23,7.13,1
2019-01-04,2.03,0.56,5.35,61.29,151.0,13.41,41.47,8.75,7.06,1
2019-01-05,2.4,0.8,5.22,58.04,118.37,13.33,52.04,16.08,6.42,1
2019-01-06,1.8,0.48,4.52,47.5,77.0,17.95,40.13,11.04,5.23,1
2019-01-07,1.95,0.44,4.04,45.5,69.83,17.87,41.95,10.0,5.03,1
2019-01-08,2.18,0.46,5.47,54.17,98.67,16.16,34.36,11.38,6.76,1
2019-01-09,1.8,0.36,4.16,57.12,69.04,12.37,20.54,8.75,6.0,1
2019-01-10,1.52,0.26,3.82,47.42,44.21,23.75,14.86,4.92,5.46,1
2019-01-11,2.02,0.5,4.78,63.38,123.04,10.79,32.33,7.96,7.46,1
2019-01-12,2.21,0.37,4.29,49.88,37.96,16.37,22.88,13.21,5.55,1
2019-01-13,1.97,0.35,3.13,43.08,33.88,21.62,17.9,14.83,4.51,1
2019-01-14,1.27,0.28,3.47,45.71,40.25,25.33,14.21,12.0,5.19,1
2019-01-15,2.16,0.45,6.1,51.08,104.87,14.29,27.17,13.33,7.67,1
2019-01-16,1.54,0.35,3.63,45.25,54.67,22.41,21.88,15.29,5.38,1
2019-01-17,1.27,0.28,2.32,49.24,38.86,29.19,9.12,7.95,4.01,1
2019-01-18,1.27,0.29,3.61,54.38,38.62,18.0,14.52,11.5,4.28,1
2019-01-19,1.32,0.28,2.66,48.54,29.75,20.75,12.48,5.88,3.6,1
2019-01-20,0.46,0.18,0.95,26.75,6.21,51.66,4.25,5.62,1.55,1
2019-01-21,0.96,0.28,2.17,50.71,36.83,28.91,11.35,7.92,3.11,1
2019-01-22,1.18,0.42,1.58,47.65,18.35,34.6,9.68,17.48,2.43,1
2019-01-23,0.44,0.39,0.7,27.46,10.75,61.33,4.72,22.79,1.38,1
2019-01-24,0.4,0.42,0.88,31.0,12.92,50.83,5.29,35.0,1.59,1
2019-01-25,1.2,0.5,4.14,45.83,20.04,33.45,10.66,36.38,4.44,1
2019-01-26,1.68,0.55,3.69,37.88,31.58,22.08,15.95,28.71,5.52,1
2019-01-27,0.63,0.37,0.55,22.96,6.5,61.41,7.89,23.54,1.31,1
2019-01-28,0.67,0.41,1.2,36.33,14.17,49.83,8.02,16.79,2.15,1
2019-01-29,0.8,0.42,1.64,36.25,16.33,47.04,8.8,8.0,2.49,1
2019-01-30,1.42,0.46,3.78,59.0,57.3,34.18,13.19,5.22,5.4,1
2019-01-31,0.99,0.34,3.25,45.71,52.12,32.7,9.19,3.71,4.66,1
2019-02-01,0.51,0.17,1.06,34.04,15.58,65.66,6.24,4.21,1.9,1
2019-02-02,0.56,0.22,0.72,35.46,12.71,51.66,9.75,6.0,1.54,1
2019-02-03,1.04,0.3,1.59,40.58,26.67,36.12,14.21,7.75,2.69,1
2019-02-04,1.9,0.63,7.39,71.04,120.91,15.45,27.91,21.71,8.19,1
2019-02-05,1.53,0.45,6.34,51.58,83.12,19.58,18.2,13.58,8.45,1
2019-02-06,1.4,0.46,4.5,47.33,60.83,15.95,21.1,16.5,6.55,1
2019-02-07,1.16,0.32,2.85,46.08,44.62,28.41,18.07,6.62,4.88,1
2019-02-08,2.19,0.76,7.97,59.58,97.46,16.12,23.75,38.42,11.22,1
2019-02-09,2.04,0.68,5.73,48.38,58.12,27.87,15.38,27.88,10.5,1
2019-02-10,0.72,0.43,1.41,25.83,7.67,60.62,6.11,1.0,3.25,1
2019-02-11,1.22,0.5,2.27,42.88,28.54,37.79,12.35,1.83,5.05,1
2019-02-12,2.65,0.73,4.12,49.14,63.18,21.4,25.62,18.91,7.78,1
2019-02-13,3.84,0.87,6.6,56.12,96.17,22.0,27.17,40.38,12.6,1
2019-02-14,2.85,1.14,13.13,64.62,116.79,19.75,36.05,44.92,13.74,-1
2019-02-15,3.96,0.99,11.45,73.62,170.41,22.12,41.43,41.25,17.65,-1
2019-02-16,3.2,1.1,7.8,64.5,97.58,20.87,45.5,49.12,15.85,-1
2019-02-17,2.62,0.74,3.9,49.38,37.5,31.87,32.85,35.5,9.05,1
2019-02-18,1.36,0.36,1.37,46.25,8.88,39.37,13.95,8.0,3.62,1
2019-02-19,0.82,0.31,2.4,45.92,49.25,29.5,12.35,5.33,3.83,1
2019-02-20,1.41,0.68,4.37,49.92,71.54,19.37,22.4,14.21,6.68,1
2019-02-21,1.28,0.62,4.05,61.65,111.3,21.45,30.3,9.6,7.24,1
2019-02-22,1.62,0.84,5.83,69.54,122.08,20.0,37.4,17.54,8.88,1
2019-02-23,1.59,0.53,4.18,53.5,54.58,27.0,34.49,9.25,7.77,1
2019-02-24,0.84,0.68,1.43,47.75,44.5,25.62,33.76,18.71,3.48,1
2019-02-25,2.37,0.7,4.94,63.0,96.25,19.37,33.37,19.46,10.46,1
2019-02-26,1.06,0.64,2.91,64.5,79.08,24.0,29.99,19.17,4.71,1
2019-02-27,1.14,0.57,2.83,63.08,73.67,30.0,30.72,14.75,5.84,1
2019-02-28,0.97,0.45,2.29,54.61,50.96,26.82,27.61,15.7,3.99,1
2019-03-01,0.17,0.44,0.34,44.46,23.33,29.79,25.48,18.46,0.6,1
2019-03-02,0.1,0.48,0.24,43.54,28.75,30.12,19.85,15.17,0.44,1
2019-03-03,0.11,0.36,0.12,27.96,9.96,41.58,19.8,11.17,0.25,1
2019-03-04,0.11,0.22,0.12,23.71,6.25,67.54,11.48,4.12,0.25,1
2019-03-05,0.49,0.35,0.76,32.75,20.58,43.83,27.73,7.0,1.52,1
2019-03-06,0.49,0.19,0.7,24.83,7.83,57.29,8.15,5.25,1.53,1
2019-03-07,0.49,0.3,0.76,39.33,24.38,43.41,9.06,6.21,1.52,1
2019-03-08,0.87,0.26,1.4,37.92,19.25,43.0,9.4,5.96,2.82,1
2019-03-09,0.87,0.29,1.4,29.83,9.83,27.33,11.31,10.08,2.82,1
2019-03-10,0.65,0.23,0.12,17.46,3.96,43.7,11.87,9.08,1.31,1
2019-03-11,0.8,0.22,0.98,31.21,13.79,48.0,8.75,5.88,2.6,1
2019-03-12,1.07,0.3,1.83,31.18,28.86,39.63,11.44,8.91,3.95,1
2019-03-13,0.74,0.25,0.34,27.67,10.29,55.66,6.59,5.96,1.86,1
2019-03-14,0.66,0.22,0.35,23.96,11.12,57.45,6.37,4.79,1.8,1
2019-03-15,1.26,0.3,1.45,40.33,18.0,39.45,12.48,5.79,4.07,1
2019-03-16,1.52,0.33,1.83,28.04,22.21,41.66,16.73,5.88,3.95,1
2019-03-17,0.6,0.21,0.22,19.54,3.62,65.91,7.19,4.67,1.35,1
2019-03-18,0.88,0.26,0.38,28.96,9.33,51.37,8.28,7.88,2.05,1
2019-03-19,0.92,0.36,0.95,43.25,15.58,43.12,9.32,7.46,2.8,1
2019-03-20,0.82,0.25,1.12,33.12,9.71,44.62,9.01,5.29,4.08,1
2019-03-21,0.94,0.27,0.91,37.96,18.96,44.45,13.17,8.54,4.63,1
2019-03-22,1.44,0.56,2.29,50.54,31.92,33.04,20.89,16.08,5.28,1
2019-03-23,1.15,0.56,1.47,43.38,15.21,39.29,22.62,15.25,3.62,1
2019-03-24,0.9,0.35,0.89,27.58,9.33,53.75,18.72,7.79,2.64,1
2019-03-25,0.59,0.19,0.22,22.25,2.71,63.0,12.52,3.67,2.68,1
2019-03-26,0.61,0.2,1.08,24.22,5.57,64.13,10.26,3.13,2.08,1
2019-03-27,0.82,0.27,0.78,29.62,12.08,52.7,15.6,8.46,3.0,1
2019-03-28,0.88,0.27,0.91,33.5,10.83,47.58,16.08,5.33,2.52,1
2019-03-29,0.8,0.4,1.37,34.92,5.38,48.16,18.94,4.17,3.12,1
2019-03-30,1.09,0.53,1.76,43.96,11.71,38.33,21.06,11.75,4.49,1
2019-03-31,0.82,0.32,0.72,33.88,5.54,48.08,16.08,5.21,2.75,1
2019-04-01,1.09,0.53,1.71,42.75,17.46,40.83,17.98,10.42,4.18,1
2019-04-02,0.85,0.33,1.11,32.25,15.54,50.0,14.39,6.96,2.56,1
2019-04-03,0.59,0.22,0.16,24.88,8.83,64.25,3.64,4.71,1.07,1
2019-04-04,0.88,0.26,1.02,41.25,15.33,46.5,7.71,5.25,2.6,1
2019-04-05,0.94,0.26,0.7,35.46,14.08,45.91,7.89,6.17,2.41,1
2019-04-06,1.08,0.29,0.7,30.54,11.83,44.0,9.88,6.54,2.49,1
2019-04-07,0.62,0.23,0.25,23.12,4.5,62.54,6.2,5.21,1.19,1
2019-04-08,0.91,0.27,0.62,33.92,15.67,45.5,8.45,5.12,2.39,1
2019-04-09,1.17,0.34,1.89,30.08,14.42,45.66,7.76,8.71,4.22,1
2019-04-10,0.68,0.26,0.26,28.0,7.73,57.0,6.67,4.73,1.36,1
2019-04-11,0.9,0.34,0.79,39.17,15.21,33.54,12.65,4.75,2.58,1
2019-04-12,1.12,0.49,1.32,39.29,18.62,37.04,18.07,6.08,3.8,1
2019-04-13,1.08,0.53,2.18,41.46,13.08,38.5,19.46,10.33,3.71,1
2019-04-14,0.8,0.34,2.39,27.83,5.0,30.2,14.04,11.58,2.37,1
2019-04-15,0.9,0.29,2.14,25.42,22.46,36.2,10.83,6.92,3.24,1
2019-04-16,0.9,0.31,2.14,30.83,11.54,40.12,8.88,6.42,3.24,1
2019-04-17,0.99,0.32,1.89,31.67,18.62,49.83,13.04,8.25,4.11,1
2019-04-18,0.52,0.2,0.45,19.17,3.25,57.54,8.1,5.88,1.79,1
2019-04-19,0.31,0.33,1.0,22.42,4.58,60.95,9.06,5.04,1.75,1
2019-04-20,0.84,0.59,1.53,34.62,12.25,44.75,16.99,9.25,3.09,1
2019-04-21,0.68,0.39,0.71,23.29,2.67,64.95,15.64,7.5,1.42,1
2019-04-22,0.74,0.39,0.58,31.5,9.12,55.33,14.56,10.08,2.27,1
2019-04-23,0.6,0.38,0.24,26.91,5.65,57.77,6.67,5.91,1.34,1
2019-04-24,0.62,0.62,0.85,24.33,9.71,50.7,7.67,7.5,2.09,1
2019-04-25,0.59,0.6,0.6,27.25,14.0,55.2,7.58,9.62,2.11,1
2019-04-26,0.43,0.56,0.3,22.12,6.54,58.83,7.32,6.21,1.2,1
2019-04-27,0.6,0.56,0.9,18.75,4.25,52.75,8.84,5.25,1.14,1
2019-04-28,0.24,0.54,0.17,12.42,2.17,62.2,7.5,3.92,0.84,1
2019-04-29,0.97,0.84,0.92,29.33,15.25,38.41,12.44,9.62,2.87,1
2019-04-30,0.74,0.93,0.99,29.08,8.71,39.33,19.15,8.96,4.03,1
2019-05-01,0.48,0.6,0.85,17.75,2.5,60.08,8.93,5.25,1.56,1
2019-05-02,0.55,0.59,0.97,22.71,10.46,49.87,9.01,4.75,2.32,1
2019-05-03,0.43,0.57,0.53,26.92,5.88,57.62,6.93,4.33,1.67,1
2019-05-04,0.4,0.59,0.69,19.75,7.08,52.37,8.45,5.62,1.44,1
2019-05-05,0.15,0.5,0.08,10.58,2.04,68.2,6.85,4.12,0.41,1
2019-05-06,0.99,0.6,0.62,27.42,12.04,46.83,16.08,6.12,2.09,1
2019-05-07,1.05,0.69,2.2,41.0,12.45,32.0,17.11,12.59,3.59,1
2019-05-08,0.32,0.52,0.51,18.5,5.75,63.37,8.15,4.33,1.45,1
2019-05-09,0.97,0.67,1.52,41.5,16.88,32.58,15.43,8.33,3.33,1
2019-05-10,0.79,0.66,2.16,20.58,26.92,33.66,12.83,4.17,3.61,1
2019-05-11,0.32,0.53,0.26,15.04,2.88,54.41,8.45,2.21,0.96,1
2019-05-12,0.26,0.51,0.21,10.21,2.17,56.25,9.88,5.12,0.87,1
2019-05-13,0.33,0.53,0.47,19.92,8.42,57.29,10.88,5.58,1.81,1
2019-05-14,0.61,0.91,1.39,31.42,12.08,46.5,16.21,12.17,2.81,1
2019-05-15,0.94,1.09,2.0,38.08,14.17,41.83,22.75,19.42,3.82,1
2019-05-16,0.55,0.57,0.47,22.88,4.04,63.04,14.21,4.71,1.51,1
2019-05-17,0.48,0.63,0.62,26.12,8.79,58.5,7.19,3.92,1.6,1
2019-05-18,0.37,0.56,0.56,16.58,5.21,54.25,5.85,3.88,1.3,1
2019-05-19,0.3,0.52,0.39,15.04,3.0,59.04,8.02,3.71,0.96,1
2019-05-20,0.77,0.64,1.13,25.88,8.12,46.91,12.87,5.62,2.28,1
2019-05-21,0.57,0.52,1.17,28.48,8.92,43.3,14.98,7.5,2.15,1
2019-05-22,0.38,0.39,1.21,31.08,9.71,39.7,18.76,9.38,2.02,1
2019-05-23,0.31,0.27,0.48,21.38,5.04,51.04,11.27,4.88,1.35,1
2019-05-24,0.34,0.24,0.76,17.71,9.29,48.41,8.45,4.79,1.12,1
2019-05-25,0.23,0.24,0.26,14.88,3.33,52.16,9.62,5.38,0.7,1
2019-05-26,0.3,0.24,0.25,12.12,3.08,46.7,8.15,4.83,0.62,1
2019-05-27,0.29,0.24,0.36,16.67,8.88,44.5,7.84,4.46,0.91,1
2019-05-28,0.29,0.25,0.44,18.08,10.46,43.25,9.06,4.75,0.98,1
2019-05-29,0.47,0.43,0.92,23.88,9.83,37.91,11.14,7.92,1.4,1
2019-05-30,0.38,0.34,0.68,20.98,10.15,40.58,10.1,6.33,1.2,1
2019-05-31,0.68,0.41,1.08,28.82,9.03,46.76,12.26,9.65,1.5,1
2019-06-01,0.98,0.5,1.48,36.67,7.92,52.95,14.43,13.0,1.81,1
2019-06-02,0.82,0.53,0.9,28.5,4.79,43.66,16.55,14.08,1.34,1
2019-06-03,0.4,0.74,0.71,27.62,10.38,32.25,18.76,11.67,1.28,1
2019-06-04,0.36,0.44,0.76,18.88,4.88,51.66,11.7,3.92,2.19,1
2019-06-05,0.25,0.38,0.38,21.18,9.82,47.45,6.39,2.77,0.95,1
2019-06-06,0.33,0.28,0.55,21.33,14.29,47.37,6.93,2.92,1.14,1
2019-06-07,0.2,0.25,0.28,17.04,8.96,67.79,7.89,2.33,0.6,1
2019-06-08,0.32,0.27,0.58,18.46,9.33,45.0,8.62,4.0,1.16,1
2019-06-09,0.2,0.29,0.3,18.62,3.21,50.54,7.63,4.46,0.75,1
2019-06-10,0.29,0.27,0.47,18.25,8.17,51.95,9.23,3.71,0.87,1
2019-06-11,0.19,0.24,0.26,12.67,4.42,64.29,5.46,4.92,0.48,1
2019-06-12,0.28,0.26,0.43,19.12,9.46,56.16,7.76,5.62,0.93,1
2019-06-13,0.51,0.4,1.0,26.0,10.54,42.62,9.49,4.79,1.48,1
2019-06-14,0.47,0.36,1.25,30.54,11.0,37.0,13.13,5.21,1.63,1
2019-06-15,0.28,0.28,0.66,17.04,4.54,57.62,10.53,3.42,0.72,1
2019-06-16,0.19,0.35,0.4,16.96,3.5,54.12,10.7,3.96,0.67,1
2019-06-17,0.48,0.31,0.63,26.38,6.17,42.16,19.07,6.21,1.17,1
2019-06-18,0.68,0.47,1.16,29.52,15.48,37.39,20.04,8.74,2.07,1
2019-06-19,0.45,0.34,0.85,20.92,16.0,43.62,9.66,7.96,1.89,1
2019-06-20,0.16,0.28,0.42,21.08,4.42,50.91,6.67,5.04,0.92,1
2019-06-21,0.13,0.23,0.24,15.29,4.96,48.16,4.9,5.04,0.65,1
2019-06-22,0.52,0.32,0.61,19.46,8.96,41.7,11.53,9.04,1.13,1
2019-06-23,0.45,0.33,0.33,19.29,3.21,43.04,12.83,3.96,1.04,1
2019-06-24,0.55,0.45,0.94,30.21,14.33,21.91,14.6,2.96,2.09,1
2019-06-25,0.42,0.4,1.09,24.21,10.08,32.04,13.04,4.0,1.8,1
2019-06-26,0.26,0.27,0.44,17.83,5.21,53.45,9.36,4.5,1.16,1
2019-06-27,0.37,0.36,0.63,22.08,10.29,50.04,11.4,6.08,1.46,1
2019-06-28,0.21,0.41,0.39,20.38,5.92,52.25,10.49,5.0,1.09,1
2019-06-29,0.25,0.28,0.36,13.83,2.96,51.83,13.52,3.29,0.86,1
2019-06-30,0.13,0.27,0.26,9.83,2.38,47.79,9.97,2.54,0.54,1
2019-07-01,0.15,0.5,0.63,13.5,3.92,49.83,6.28,2.3,1.0,1
2019-07-02,0.16,0.43,0.63,14.68,3.95,49.63,7.99,2.06,1.0,1
2019-07-03,0.2,0.33,1.0,19.54,5.5,43.2,10.92,1.58,1.47,1
2019-07-04,0.24,0.48,1.21,25.38,10.12,39.75,18.85,4.08,2.03,1
2019-07-05,0.11,0.47,0.22,21.71,5.71,65.04,17.12,4.54,0.34,1
2019-07-06,0.26,0.38,0.26,19.83,3.62,56.25,15.77,5.5,0.41,1
2019-07-07,0.29,0.43,0.21,13.71,2.25,60.29,15.64,4.38,0.54,1
2019-07-08,0.17,0.37,0.32,17.75,3.5,63.75,11.92,3.75,0.94,1
2019-07-09,0.49,0.4,0.59,21.46,6.67,58.62,12.74,7.58,1.41,1
2019-07-10,0.3,0.56,0.96,24.71,6.08,55.29,17.07,15.0,2.0,1
2019-07-11,0.55,0.7,1.37,29.12,11.54,53.41,19.02,17.67,2.88,1
2019-07-12,0.23,0.4,0.51,18.5,4.42,70.83,12.65,7.92,1.4,1
2019-07-13,0.11,0.29,0.22,10.71,2.5,65.75,7.41,4.88,0.63,1
2019-07-14,0.12,0.36,0.28,11.67,2.29,60.62,9.14,10.29,0.55,1
2019-07-15,0.2,0.32,0.5,17.0,5.12,66.87,13.04,8.46,1.38,1
2019-07-16,0.2,0.33,0.88,19.04,6.83,60.5,9.92,5.33,1.31,1
2019-07-17,0.2,0.32,0.73,22.96,4.71,54.04,9.88,3.0,1.5,1
2019-07-18,0.67,0.41,0.81,18.35,7.65,40.18,12.01,11.77,1.39,1
2019-07-19,0.34,0.65,1.21,22.17,10.04,41.29,13.69,14.0,1.61,1
2019-07-20,0.4,0.36,0.45,16.04,3.0,39.75,11.18,5.88,1.07,1
2019-07-21,0.14,0.3,0.26,10.67,2.25,37.58,6.93,4.83,0.68,1
2019-07-22,0.13,0.33,1.74,13.12,3.42,38.91,11.31,2.96,1.18,1
2019-07-23,0.44,0.49,0.85,22.29,7.83,37.5,18.81,5.21,1.73,1
2019-07-24,0.53,0.77,2.2,26.29,5.67,45.95,18.72,16.29,2.11,1
2019-07-25,0.41,0.5,2.29,20.33,10.5,39.87,14.47,9.62,3.07,1
2019-07-26,0.21,0.31,0.71,17.62,6.83,39.7,6.67,5.21,1.01,1
2019-07-27,0.21,0.33,0.48,12.88,4.12,44.0,5.76,14.04,0.83,1
2019-07-28,0.23,0.43,0.43,14.38,4.62,43.45,8.45,25.92,0.96,1
2019-07-29,0.36,0.35,0.67,14.12,11.58,48.33,8.41,9.17,1.4,1
2019-07-30,0.28,0.41,0.66,16.57,6.3,57.78,7.42,20.91,1.01,1
2019-07-31,0.3,0.45,0.75,16.88,10.46,50.26,9.49,29.5,1.35,1
2019-08-01,0.2,0.48,1.49,17.42,5.5,55.7,8.49,12.92,1.36,1
2019-08-02,0.37,0.51,1.21,19.71,11.96,46.33,11.7,4.33,1.8,1
2019-08-03,0.47,0.52,1.17,20.25,3.42,46.5,17.51,9.17,1.58,1
2019-08-04,0.56,0.38,0.78,15.12,2.29,48.54,16.99,5.21,1.14,1
2019-08-05,0.48,0.59,2.49,23.17,7.62,45.33,15.56,19.08,1.52,1
2019-08-06,0.48,0.37,0.7,20.88,7.75,34.83,11.57,5.71,1.7,1
2019-08-07,0.49,0.45,0.98,21.0,14.96,31.16,10.88,6.54,2.19,1
2019-08-08,0.59,0.43,3.1,18.46,14.96,26.12,8.62,11.71,2.04,1
2019-08-09,0.4,0.4,2.29,23.88,7.5,37.87,12.31,5.29,1.76,1
2019-08-10,0.4,0.38,2.28,17.29,4.38,52.79,9.01,7.75,1.7,1
2019-08-11,0.35,0.31,1.46,11.83,3.17,55.41,7.58,2.08,1.57,1
2019-08-12,0.35,0.4,1.46,16.94,6.83,48.83,8.95,5.56,1.58,1
2019-08-13,0.31,0.49,0.63,22.04,10.5,42.25,10.31,9.04,1.46,1
2019-08-14,0.35,0.51,0.72,17.38,10.04,42.66,8.88,11.88,1.39,1
2019-08-15,0.34,0.59,0.57,20.56,9.31,41.28,10.36,9.02,1.3,1
2019-08-16,0.34,0.59,0.58,20.56,9.31,41.28,10.36,9.02,1.16,1
2019-08-17,0.34,0.67,0.57,23.75,8.58,39.91,11.83,6.17,1.16,1
2019-08-18,0.33,0.48,0.43,15.42,3.71,43.62,6.98,4.33,1.01,1
2019-08-19,0.26,0.39,0.3,16.67,6.17,50.87,6.93,4.33,0.67,1
2019-08-20,0.2,0.28,0.26,14.29,3.25,50.5,6.72,1.96,0.74,1
2019-08-21,0.24,0.32,0.6,16.79,7.29,54.12,8.93,4.83,1.26,1
2019-08-22,0.26,0.35,0.66,24.04,5.42,56.54,11.27,5.29,1.33,1
2019-08-23,0.52,0.72,2.17,44.92,15.88,47.54,15.82,10.42,2.97,1
2019-08-24,0.41,0.38,0.7,17.88,3.08,70.91,16.47,5.42,1.3,1
2019-08-25,0.19,0.37,0.2,12.71,2.29,63.08,12.35,4.08,0.57,1
2019-08-26,0.28,0.4,0.48,21.58,4.33,49.54,13.87,3.08,1.13,1
2019-08-27,0.54,0.44,0.54,22.58,4.08,49.66,15.73,6.17,1.6,1
2019-08-28,0.37,0.35,0.44,18.65,4.61,48.56,11.53,3.35,1.44,1
2019-08-29,0.29,0.41,0.52,22.12,3.88,55.29,11.66,4.79,1.42,1
2019-08-30,0.29,0.33,0.63,18.79,6.08,40.2,11.48,3.71,1.93,1
2019-08-31,0.35,0.38,0.36,17.58,3.62,45.08,11.66,5.46,1.22,1
2019-09-01,0.24,0.31,0.21,12.08,2.54,54.91,6.46,4.04,0.55,1
2019-09-02,0.15,0.32,0.21,14.29,3.38,55.37,5.68,3.75,0.82,1
2019-09-03,0.35,0.32,0.97,24.83,9.83,46.12,9.32,4.5,1.74,1
2019-09-04,0.4,0.37,1.07,21.54,10.46,53.87,10.62,5.58,1.82,1
2019-09-05,0.27,0.31,0.35,17.04,4.88,53.83,6.41,4.46,2.0,1
2019-09-06,0.33,0.31,0.65,23.67,10.38,43.33,7.71,3.92,2.04,1
2019-09-07,0.38,0.34,0.81,21.38,6.58,48.83,8.02,6.21,1.41,1
2019-09-08,0.46,0.31,0.74,15.96,4.58,43.62,8.1,5.17,1.21,1
2019-09-09,0.48,0.31,0.25,12.25,3.33,57.29,7.79,4.17,1.12,1
2019-09-10,0.32,0.32,0.36,18.55,8.59,45.86,7.79,3.68,1.15,1
2019-09-11,0.43,0.3,0.45,22.79,9.33,42.62,7.84,3.92,1.47,1
2019-09-12,0.66,0.33,1.14,21.83,15.88,40.2,10.66,7.0,2.16,1
2019-09-13,0.34,0.3,0.63,22.67,9.42,48.16,11.01,6.0,1.88,1
2019-09-14,0.35,0.35,0.59,18.12,3.21,53.87,14.52,6.42,1.43,1
2019-09-15,0.45,0.47,0.25,16.17,2.33,57.08,20.54,7.62,0.92,1
2019-09-16,0.56,0.54,0.95,30.92,6.33,46.41,21.1,13.04,2.0,1
2019-09-17,0.53,0.51,1.75,30.04,6.62,41.33,15.21,7.12,3.01,1
2019-09-18,0.46,0.34,1.03,19.58,8.71,48.0,9.58,4.67,2.04,1
2019-09-19,0.27,0.31,0.45,21.58,4.38,59.08,9.58,4.83,1.35,1
2019-09-20,0.76,0.44,2.36,28.21,16.04,38.33,17.12,5.71,2.48,1
2019-09-21,0.42,0.33,0.51,19.04,4.83,47.75,14.86,5.58,1.36,1
2019-09-22,0.38,0.3,0.58,18.79,6.79,37.37,6.54,5.29,1.46,1
2019-09-23,0.79,0.37,1.41,30.83,23.04,17.2,11.96,6.25,2.76,1
2019-09-24,0.56,0.31,1.08,24.25,17.17,31.33,8.75,2.62,3.03,1
2019-09-25,0.92,0.33,1.86,29.7,22.78,29.86,9.36,4.48,3.96,1
2019-09-26,0.87,0.49,1.67,30.04,20.12,32.58,13.74,8.25,3.07,1
2019-09-27,0.5,0.32,0.79,24.46,11.04,41.83,11.14,5.71,2.27,1
2019-09-28,0.34,0.43,0.61,27.33,7.54,49.25,10.49,7.0,2.03,1
2019-09-29,0.42,0.28,0.67,19.33,7.25,33.75,10.66,3.67,2.09,1
2019-09-30,0.45,0.35,1.01,21.21,14.67,31.66,9.36,6.79,2.18,1
2019-10-01,0.21,0.28,0.35,18.33,12.83,45.79,10.31,4.96,1.11,1
2019-10-02,0.3,0.24,0.44,17.38,5.75,59.87,6.46,4.33,1.36,1
2019-10-03,0.55,0.29,0.99,26.21,11.46,37.29,9.58,4.42,2.18,1
2019-10-04,0.33,0.25,0.48,27.46,6.25,41.0,7.32,3.71,1.89,1
2019-10-05,0.44,0.28,0.73,22.33,9.58,38.08,9.66,4.33,2.34,1
2019-10-06,0.35,0.28,0.8,17.0,3.38,42.04,9.45,3.54,1.58,1
2019-10-07,0.62,0.39,1.86,34.0,21.25,33.04,13.78,6.29,3.33,1
