timeStamps;magnitude;shape
('2017 1 2', '2017 1 8');19.778574218849712;377.8120962864444
('2017 1 16', '2017 1 22');13.816099089353054;163.77484985655187
('2017 4 10', '2017 4 16');-25.4353248124716;499.27336614022835
('2017 7 31', '2017 8 6');-9.326750635577131;197.53356629302078
('2017 8 14', '2017 8 20');-18.69029892269197;814.7168232859934
('2017 9 4', '2017 9 10');-20.38705713368369;1957.6774922446616
('2017 11 20', '2017 11 26');37.39141562898791;3301.840299231789
('2017 12 25', '2017 12 31');18.056212496294258;829.304837875445
('2018 2 12', '2018 2 18');11.43290001322801;192.3108541777585
('2018 5 7', '2018 5 13');-13.688068990609786;350.22181531808343
('2018 8 13', '2018 8 19');-11.59590001274549;465.8763477159501
('2018 11 12', '2018 11 18');27.08207406356904;621.7724505563287
('2018 11 26', '2018 12 2');13.91667808517365;145.75956933426838
('2018 12 10', '2018 12 16');12.794338228074107;349.8223318055249
('2018 12 17', '2018 12 23');61.61715139636095;3706.274416833887
('2018 12 24', '2018 12 30');29.83874776198384;1793.8904015573867
('2018 12 31', '2019 1 6');16.534999707353645;289.06200501926094
('2019 2 11', '2019 2 17');17.795491191741213;397.47043757407766
('2019 12 23', '2019 12 29');48.61753187340502;2751.1632792134697
('2019 12 30', '2020 1 5');23.689874039908446;1880.3537774239876
('2020 1 6', '2020 1 12');23.682063542838936;716.4629501006746
('2020 1 27', '2020 2 2');16.839807315977033;288.9132051519496
('2020 3 23', '2020 3 29');-17.46602993331509;2018.8362515180281
('2020 3 30', '2020 4 5');-24.443058935316504;744.1889414826575
('2020 4 13', '2020 4 19');-12.42037408202236;465.43361400688514
('2020 5 11', '2020 5 17');-71.17471558881257;4329.5534755749195
('2020 7 6', '2020 7 12');-28.594750891815487;1713.3515805785128
('2021 3 29', '2021 4 4');-31.567772717940834;3649.6463200481344
('2021 8 16', '2021 8 22');-24.89521427027709;428.8677812165894
('2021 12 13', '2021 12 19');21.00312280817053;377.846464109315
