date;BEN;zscore_BEN;svm_BEN;fda_BEN;CO;zscore_CO;svm_CO;fda_CO;MXIL;zscore_MXIL;svm_MXIL;fda_MXIL;NO2;zscore_NO2;svm_NO2;fda_NO2;NO;zscore_NO;svm_NO;fda_NO;O3;zscore_O3;svm_O3;fda_O3;PM2_5;zscore_PM2_5;svm_PM2_5;fda_PM2_5;SO2;zscore_SO2;svm_SO2;fda_SO2;TOL;zscore_TOL;svm_TOL;fda_TOL
2017-01-31;0.49;0;0;0;0.26;0;0;0;1.0;0;0;0;32.0;0;0;0;23.0;0;0;0;43.0;0;0;0;12.0;0;0;0;4.0;0;0;0;3.34;0;0;0
2017-02-01;0.75;0;0;0;0.42;0;0;0;2.24;0;0;0;38.0;0;0;0;55.0;0;0;0;26.0;0;0;0;19.0;0;0;0;10.0;0;0;0;7.05;0;0;0
2017-02-02;0.21;0;0;0;0.2;0;0;0;0.35;0;0;0;20.0;0;0;0;10.0;0;0;0;55.0;0;0;0;7.0;0;0;0;5.0;0;0;0;1.55;0;0;0
2017-02-03;0.3;0;0;0;0.24;0;0;0;0.83;0;0;0;30.0;0;0;0;18.0;0;0;0;47.0;0;0;0;6.0;0;0;0;3.0;0;0;0;2.8;0;0;0
2017-02-04;0.32;0;0;0;0.27;0;0;0;0.76;0;0;0;28.0;0;0;0;16.0;0;0;0;45.0;0;0;0;8.0;0;0;0;3.0;0;0;0;2.14;0;0;0
2017-02-05;0.24;0;0;0;0.17;0;0;0;0.34;0;0;0;15.0;0;0;0;7.0;0;0;0;64.0;0;0;0;7.0;0;0;0;3.0;0;0;0;1.14;0;0;0
2017-02-06;0.74;0;0;0;0.48;0;0;0;2.64;0;0;0;55.0;1;0;0;76.0;0;0;0;19.0;0;0;0;7.0;0;0;0;5.0;0;0;0;7.54;1;0;0
2017-02-07;0.32;0;0;0;0.2;0;0;0;0.68;0;0;0;31.0;0;0;0;23.0;0;0;0;40.0;0;0;0;7.0;0;0;0;4.0;0;0;0;2.68;0;0;0
2017-02-08;0.41;0;0;0;0.26;0;0;0;0.63;0;0;0;39.0;0;0;0;24.0;0;0;0;30.0;0;0;0;10.0;0;0;0;5.0;0;0;0;2.6;0;0;0
2017-02-09;0.63;0;0;0;0.3;0;0;0;1.57;0;0;0;47.0;0;0;0;44.0;0;0;0;14.0;0;0;0;16.0;0;0;0;5.0;0;0;0;6.02;0;0;0
2017-02-10;0.38;0;0;0;0.26;0;0;0;0.91;0;0;0;43.0;0;0;0;21.0;0;0;0;40.0;0;0;0;10.0;0;0;0;4.0;0;0;0;6.08;0;0;0
2017-02-11;0.45;0;0;0;0.23;0;0;0;1.06;0;0;0;31.0;0;0;0;16.0;0;0;0;47.0;0;0;0;12.0;0;0;0;6.0;0;0;0;2.44;0;0;0
2017-02-12;0.54;0;0;0;0.32;0;0;0;1.1;0;0;0;30.0;0;0;0;23.0;0;0;0;47.0;0;0;0;11.0;0;0;0;5.0;0;0;0;3.96;0;0;0
2017-02-13;0.65;0;0;0;0.46;0;0;0;1.61;0;0;0;52.0;0;0;0;62.0;0;0;0;43.0;0;0;0;7.0;0;0;0;6.0;0;0;0;6.57;0;0;1
2017-02-14;1.21;0;0;0;0.51;0;0;0;2.68;0;0;0;50.0;0;0;0;68.0;0;0;0;36.0;0;0;0;10.0;0;0;0;6.0;0;0;0;13.78;1;0;1
