date;value
18-10-2017;1.11
19-10-2017;0.63
20-10-2017;1.27
21-10-2017;0.27
22-10-2017;0.3
23-10-2017;0.5
24-10-2017;1.6
25-10-2017;1.64
26-10-2017;1.24
27-10-2017;0.71
28-10-2017;0.25
29-10-2017;0.25
30-10-2017;0.25
31-10-2017;0.58
01-11-2017;1.61
02-11-2017;1.09
03-11-2017;0.66
04-11-2017;0.5
05-11-2017;0.34
06-11-2017;0.45
07-11-2017;0.38
08-11-2017;0.35
09-11-2017;0.43
10-11-2017;0.47
11-11-2017;0.29
12-11-2017;0.31
13-11-2017;0.5
14-11-2017;0.35
15-11-2017;0.31
16-11-2017;1.14
17-11-2017;0.45
18-11-2017;0.59
19-11-2017;0.73
20-11-2017;0.93
21-11-2017;0.58
22-11-2017;0.25
23-11-2017;1.87
24-11-2017;0.45
25-11-2017;0.26
26-11-2017;0.39
27-11-2017;0.74
28-11-2017;0.56
29-11-2017;0.56
30-11-2017;0.37
01-12-2017;0.36
02-12-2017;0.27
03-12-2017;0.39
04-12-2017;0.87
05-12-2017;1.14
06-12-2017;1.31
07-12-2017;1.2
08-12-2017;0.26
09-12-2017;0.33
10-12-2017;0.27
11-12-2017;0.26
12-12-2017;0.43
13-12-2017;0.86
14-12-2017;0.37
15-12-2017;0.28
16-12-2017;0.32
17-12-2017;0.5
18-12-2017;0.49
19-12-2017;0.77
20-12-2017;0.89
21-12-2017;1.33
22-12-2017;1.1
23-12-2017;0.81
24-12-2017;0.88
25-12-2017;0.36
26-12-2017;1.01
27-12-2017;0.31
28-12-2017;0.82
29-12-2017;1.71
30-12-2017;2.69
31-12-2017;0.41
01-01-2018;0.46
02-01-2018;0.32
03-01-2018;0.26
04-01-2018;0.63
05-01-2018;0.28
06-01-2018;0.26
07-01-2018;0.39
08-01-2018;0.67
09-01-2018;0.61
10-01-2018;0.79
11-01-2018;0.3
12-01-2018;9.52
13-01-2018;2.61
14-01-2018;0.98
15-01-2018;0.61
16-01-2018;0.4
17-01-2018;0.66
18-01-2018;11.57
19-01-2018;6.61
20-01-2018;6.7
21-01-2018;6.8
22-01-2018;1.68
23-01-2018;2.26
24-01-2018;2.26
25-01-2018;2.85
26-01-2018;0.33
27-01-2018;0.46
28-01-2018;1.14
29-01-2018;1.72
30-01-2018;1.05
31-01-2018;0.38
01-02-2018;0.73
02-02-2018;1.07
03-02-2018;0.4
04-02-2018;0.31
05-02-2018;0.6
06-02-2018;0.72
07-02-2018;0.46
08-02-2018;1.25
09-02-2018;0.96
10-02-2018;0.88
11-02-2018;0.61
12-02-2018;2.36
13-02-2018;1.1
14-02-2018;8.22
15-02-2018;7.15
16-02-2018;2.66
17-02-2018;1.08
18-02-2018;1.07
19-02-2018;0.6
20-02-2018;0.51
21-02-2018;0.61
22-02-2018;0.93
23-02-2018;1.87
24-02-2018;1.21
25-02-2018;1.25
26-02-2018;0.72
27-02-2018;0.21
28-02-2018;0.59
01-03-2018;0.21
02-03-2018;0.21
03-03-2018;0.36
04-03-2018;0.36
05-03-2018;0.51
06-03-2018;0.51
07-03-2018;1.08
08-03-2018;2.51
09-03-2018;1.18
10-03-2018;1.08
11-03-2018;0.24
12-03-2018;0.25
13-03-2018;1.52
14-03-2018;1.45
15-03-2018;1.08
16-03-2018;0.87
17-03-2018;0.32
18-03-2018;0.26
19-03-2018;0.37
20-03-2018;0.53
21-03-2018;0.72
22-03-2018;1.13
23-03-2018;1
24-03-2018;0.22
25-03-2018;0.4
26-03-2018;0.98
27-03-2018;0.49
28-03-2018;0.46
29-03-2018;0.23
30-03-2018;0.21
31-03-2018;0.28
01-04-2018;1.04
02-04-2018;1.66
03-04-2018;0.5
04-04-2018;0.9
05-04-2018;1.05
06-04-2018;1.61
07-04-2018;0.31
08-04-2018;0.34
09-04-2018;0.69
10-04-2018;1.03
11-04-2018;1.2
12-04-2018;2.9
13-04-2018;1.46
14-04-2018;1.12
15-04-2018;1.05
16-04-2018;1.39
17-04-2018;2.02
18-04-2018;2.94
19-04-2018;1.76
20-04-2018;1.12
21-04-2018;2.31
22-04-2018;1.42
23-04-2018;0.91
24-04-2018;0.9
25-04-2018;1.09
26-04-2018;0.94
27-04-2018;1
28-04-2018;0.89
29-04-2018;0.87
30-04-2018;1.15
01-05-2018;0.86
02-05-2018;1.05
03-05-2018;1
04-05-2018;0.97
05-05-2018;0.97
