date;value
22-12-2017;94
23-12-2017;81
24-12-2017;76
25-12-2017;33
26-12-2017;45
27-12-2017;16
28-12-2017;44
29-12-2017;76
30-12-2017;133
31-12-2017;27
01-01-2018;15
02-01-2018;12
03-01-2018;13
04-01-2018;45
05-01-2018;13
06-01-2018;10
07-01-2018;15
08-01-2018;66
09-01-2018;63
10-01-2018;77
11-01-2018;14
12-01-2018;89
13-01-2018;62
14-01-2018;21
15-01-2018;42
16-01-2018;16
17-01-2018;28
18-01-2018;85
19-01-2018;92
20-01-2018;92
21-01-2018;92
22-01-2018;100
23-01-2018;68
24-01-2018;79
25-01-2018;17
26-01-2018;22
27-01-2018;14
28-01-2018;37
29-01-2018;101
30-01-2018;52
31-01-2018;29
01-02-2018;16
02-02-2018;22
03-02-2018;12
04-02-2018;8
05-02-2018;12
06-02-2018;28
07-02-2018;24
08-02-2018;26
09-02-2018;25
10-02-2018;16
11-02-2018;13
12-02-2018;27
13-02-2018;22
14-02-2018;163
15-02-2018;129
16-02-2018;53
17-02-2018;22
18-02-2018;12
19-02-2018;16
20-02-2018;16
21-02-2018;15
22-02-2018;29
23-02-2018;24
24-02-2018;30
25-02-2018;19
26-02-2018;18
27-02-2018;6
28-02-2018;28
01-03-2018;76
02-03-2018;28
03-03-2018;21
04-03-2018;7
05-03-2018;44
06-03-2018;16
07-03-2018;26
08-03-2018;43
09-03-2018;14
10-03-2018;16
11-03-2018;5
12-03-2018;9
13-03-2018;30
14-03-2018;19
15-03-2018;34
16-03-2018;28
17-03-2018;8
18-03-2018;6
19-03-2018;11
20-03-2018;11
21-03-2018;13
22-03-2018;25
23-03-2018;18
24-03-2018;7
25-03-2018;8
26-03-2018;23
27-03-2018;20
28-03-2018;21
29-03-2018;7
30-03-2018;7
31-03-2018;7
01-04-2018;20
02-04-2018;34
03-04-2018;10
04-04-2018;18
05-04-2018;18
06-04-2018;37
07-04-2018;6
08-04-2018;10
09-04-2018;11
10-04-2018;8
11-04-2018;12
12-04-2018;27
13-04-2018;15
14-04-2018;7
15-04-2018;3
16-04-2018;17
17-04-2018;26
18-04-2018;21
19-04-2018;12
20-04-2018;4
21-04-2018;23
22-04-2018;6
23-04-2018;4
24-04-2018;4
25-04-2018;4
26-04-2018;4
27-04-2018;9
28-04-2018;4
29-04-2018;4
30-04-2018;11
01-05-2018;3
02-05-2018;17
03-05-2018;8
04-05-2018;8
05-05-2018;6
06-05-2018;4
07-05-2018;21
08-05-2018;3
09-05-2018;5
10-05-2018;3
11-05-2018;17
12-05-2018;4
13-05-2018;4
14-05-2018;5
15-05-2018;9
16-05-2018;6
17-05-2018;4
18-05-2018;3
19-05-2018;2
20-05-2018;2
21-05-2018;10
22-05-2018;7
23-05-2018;4
24-05-2018;5
25-05-2018;4
26-05-2018;4
27-05-2018;2
28-05-2018;5
29-05-2018;7
30-05-2018;12
31-05-2018;4
01-06-2018;7
02-06-2018;7
03-06-2018;2
04-06-2018;7
05-06-2018;10
06-06-2018;10
07-06-2018;4
08-06-2018;8
09-06-2018;5
10-06-2018;4
11-06-2018;7
12-06-2018;6
13-06-2018;7
14-06-2018;9
15-06-2018;9
16-06-2018;3
17-06-2018;2
18-06-2018;9
19-06-2018;4
20-06-2018;7
21-06-2018;5
22-06-2018;3
23-06-2018;2
24-06-2018;3
25-06-2018;13
26-06-2018;4
27-06-2018;5
28-06-2018;6
29-06-2018;5
30-06-2018;3
01-07-2018;3
02-07-2018;8
03-07-2018;4
04-07-2018;6
05-07-2018;9
06-07-2018;3
07-07-2018;3
08-07-2018;2
09-07-2018;7
10-07-2018;3
11-07-2018;6
12-07-2018;8
13-07-2018;5
14-07-2018;3
15-07-2018;2
16-07-2018;4
17-07-2018;4
18-07-2018;11
19-07-2018;3
20-07-2018;9
21-07-2018;9
22-07-2018;4
23-07-2018;6
24-07-2018;5
25-07-2018;5
26-07-2018;8
27-07-2018;8
28-07-2018;5
29-07-2018;4
30-07-2018;11
31-07-2018;3
01-08-2018;5
02-08-2018;4
03-08-2018;18
04-08-2018;3
05-08-2018;2
06-08-2018;9
07-08-2018;4
08-08-2018;5
09-08-2018;6
10-08-2018;13
11-08-2018;7
12-08-2018;5
13-08-2018;4
14-08-2018;5
15-08-2018;2
16-08-2018;3
17-08-2018;3
18-08-2018;8
19-08-2018;6
20-08-2018;7
21-08-2018;3
22-08-2018;3
23-08-2018;3
24-08-2018;4
25-08-2018;2
26-08-2018;5
27-08-2018;16
28-08-2018;6
29-08-2018;4
30-08-2018;6
31-08-2018;12
01-09-2018;7
02-09-2018;4
03-09-2018;7
04-09-2018;18
05-09-2018;7
06-09-2018;7
07-09-2018;4
08-09-2018;11
09-09-2018;3
10-09-2018;7
11-09-2018;10
12-09-2018;14
13-09-2018;5
14-09-2018;6
15-09-2018;5
16-09-2018;3
17-09-2018;18
18-09-2018;18
19-09-2018;11
20-09-2018;18
21-09-2018;11
22-09-2018;8
23-09-2018;4
24-09-2018;3
25-09-2018;19
26-09-2018;32
27-09-2018;21
28-09-2018;4
29-09-2018;3
30-09-2018;2
01-10-2018;5
02-10-2018;21
03-10-2018;32
04-10-2018;62
05-10-2018;27
06-10-2018;10
07-10-2018;15
08-10-2018;22
09-10-2018;27
10-10-2018;78
11-10-2018;26
12-10-2018;9
13-10-2018;15
14-10-2018;7
15-10-2018;21
16-10-2018;25
17-10-2018;20
18-10-2018;8
19-10-2018;20
20-10-2018;10
21-10-2018;7
22-10-2018;5
23-10-2018;28
24-10-2018;27
25-10-2018;53
26-10-2018;30
27-10-2018;7
28-10-2018;6
29-10-2018;26
30-10-2018;59
31-10-2018;30
01-11-2018;12
02-11-2018;10
03-11-2018;12
04-11-2018;15
05-11-2018;19
06-11-2018;28
07-11-2018;32
08-11-2018;54
09-11-2018;23
10-11-2018;40
11-11-2018;34
12-11-2018;69
13-11-2018;80
14-11-2018;119
15-11-2018;141
16-11-2018;138
17-11-2018;98
18-11-2018;32
19-11-2018;38
20-11-2018;13
21-11-2018;81
22-11-2018;65
23-11-2018;62
24-11-2018;28
25-11-2018;15
26-11-2018;51
27-11-2018;98
28-11-2018;163
29-11-2018;101
30-11-2018;86
01-12-2018;90
02-12-2018;98
03-12-2018;129
04-12-2018;89
05-12-2018;88
06-12-2018;67
07-12-2018;58
08-12-2018;61
09-12-2018;26
10-12-2018;91
11-12-2018;147
12-12-2018;55
13-12-2018;16
14-12-2018;52
15-12-2018;44
16-12-2018;9
17-12-2018;95
18-12-2018;46
19-12-2018;46
20-12-2018;158
21-12-2018;309
22-12-2018;126
23-12-2018;86
