date;value
18-10-2017;0.57
19-10-2017;0.49
20-10-2017;0.49
21-10-2017;0.33
22-10-2017;0.35
23-10-2017;0.61
24-10-2017;0.59
25-10-2017;0.79
26-10-2017;0.56
27-10-2017;0.49
28-10-2017;0.3
29-10-2017;0.32
30-10-2017;0.31
31-10-2017;0.44
01-11-2017;0.72
02-11-2017;0.63
03-11-2017;0.56
04-11-2017;0.47
05-11-2017;0.39
06-11-2017;0.53
07-11-2017;0.58
08-11-2017;0.6
09-11-2017;0.66
10-11-2017;0.62
11-11-2017;0.69
12-11-2017;0.59
13-11-2017;0.53
14-11-2017;0.52
15-11-2017;0.89
16-11-2017;0.84
17-11-2017;0.69
18-11-2017;0.67
19-11-2017;0.73
20-11-2017;1.02
21-11-2017;1.02
22-11-2017;1.13
23-11-2017;1.06
24-11-2017;0.44
25-11-2017;0.33
26-11-2017;0.44
27-11-2017;0.51
28-11-2017;0.45
29-11-2017;0.45
30-11-2017;0.39
01-12-2017;0.34
02-12-2017;0.42
03-12-2017;0.55
04-12-2017;0.5
05-12-2017;0.58
06-12-2017;0.62
07-12-2017;0.72
08-12-2017;0.3
09-12-2017;0.41
10-12-2017;0.32
11-12-2017;0.31
12-12-2017;0.44
13-12-2017;0.5
14-12-2017;0.32
15-12-2017;0.34
16-12-2017;0.4
17-12-2017;0.5
18-12-2017;0.58
19-12-2017;0.38
20-12-2017;0.52
21-12-2017;0.81
22-12-2017;0.71
23-12-2017;0.68
24-12-2017;0.68
25-12-2017;0.45
26-12-2017;0.41
27-12-2017;0.29
28-12-2017;0.5
29-12-2017;0.67
30-12-2017;0.88
31-12-2017;0.3
01-01-2018;0.25
02-01-2018;0.23
03-01-2018;0.17
04-01-2018;0.41
05-01-2018;0.2
06-01-2018;0.25
07-01-2018;0.32
08-01-2018;0.52
09-01-2018;0.4
10-01-2018;0.41
11-01-2018;0.3
12-01-2018;0.56
13-01-2018;0.58
14-01-2018;0.39
15-01-2018;0.45
16-01-2018;0.21
17-01-2018;0.27
18-01-2018;0.43
19-01-2018;0.43
20-01-2018;0.3
21-01-2018;0.34
22-01-2018;0.55
23-01-2018;0.45
24-01-2018;0.5
25-01-2018;0.26
26-01-2018;0.3
27-01-2018;0.31
28-01-2018;0.4
29-01-2018;0.68
30-01-2018;0.52
31-01-2018;0.37
01-02-2018;0.24
02-02-2018;0.29
03-02-2018;0.33
04-02-2018;0.24
05-02-2018;0.22
06-02-2018;0.34
07-02-2018;0.33
08-02-2018;0.32
09-02-2018;0.37
10-02-2018;0.34
11-02-2018;0.3
12-02-2018;0.28
13-02-2018;0.31
14-02-2018;0.83
15-02-2018;0.79
16-02-2018;0.52
17-02-2018;0.28
18-02-2018;0.32
19-02-2018;0.24
20-02-2018;0.22
21-02-2018;0.18
22-02-2018;0.29
23-02-2018;0.32
24-02-2018;0.39
25-02-2018;0.39
26-02-2018;0.29
27-02-2018;0.15
28-02-2018;0.31
01-03-2018;0.64
02-03-2018;0.28
03-03-2018;0.34
04-03-2018;0.24
