date;value
18-10-2017;1.81
19-10-2017;1.94
20-10-2017;2.98
21-10-2017;0.55
22-10-2017;0.63
23-10-2017;1.57
24-10-2017;3.78
25-10-2017;3.79
26-10-2017;3.3
27-10-2017;2.29
28-10-2017;0.84
29-10-2017;0.58
30-10-2017;0.42
31-10-2017;1.74
01-11-2017;4.1
02-11-2017;3.47
03-11-2017;2.65
04-11-2017;1.57
05-11-2017;0.63
06-11-2017;1.46
07-11-2017;1.51
08-11-2017;1.26
09-11-2017;1.39
10-11-2017;1.71
11-11-2017;1.13
12-11-2017;0.87
13-11-2017;1.39
14-11-2017;1.62
15-11-2017;3.76
16-11-2017;4.97
17-11-2017;2.1
18-11-2017;2.9
19-11-2017;2.67
20-11-2017;5.98
21-11-2017;5.21
22-11-2017;3.39
23-11-2017;5.53
24-11-2017;1.83
25-11-2017;0.43
26-11-2017;1.14
27-11-2017;1.9
28-11-2017;1.64
29-11-2017;1.64
30-11-2017;1.37
01-12-2017;0.91
02-12-2017;0.59
03-12-2017;1.18
04-12-2017;2.15
05-12-2017;2.7
06-12-2017;3.19
07-12-2017;3.34
08-12-2017;0.56
09-12-2017;0.83
10-12-2017;0.66
11-12-2017;0.55
12-12-2017;1.22
13-12-2017;2.12
14-12-2017;0.97
15-12-2017;0.86
16-12-2017;0.83
17-12-2017;1.37
18-12-2017;1.74
19-12-2017;2.33
20-12-2017;2.53
21-12-2017;3.9
22-12-2017;3.05
23-12-2017;2.6
24-12-2017;2.02
25-12-2017;1.09
26-12-2017;1.4
27-12-2017;0.87
28-12-2017;2.08
29-12-2017;4.71
30-12-2017;6.41
31-12-2017;1.3
01-01-2018;1.01
02-01-2018;0.71
03-01-2018;0.5
04-01-2018;2.58
05-01-2018;0.55
06-01-2018;0.51
07-01-2018;0.91
08-01-2018;1.95
09-01-2018;1.98
10-01-2018;2.6
11-01-2018;0.75
12-01-2018;3.43
13-01-2018;2.97
14-01-2018;1.38
15-01-2018;1.71
16-01-2018;0.83
17-01-2018;1.24
18-01-2018;2.4
19-01-2018;2.9
20-01-2018;2.91
21-01-2018;2.92
22-01-2018;3.45
23-01-2018;2.11
24-01-2018;2.11
25-01-2018;0.77
26-01-2018;0.74
27-01-2018;0.68
28-01-2018;1.26
29-01-2018;2.72
30-01-2018;1.95
31-01-2018;1.17
01-02-2018;1.38
02-02-2018;1.59
03-02-2018;1.15
04-02-2018;0.66
05-02-2018;1.24
06-02-2018;1.78
07-02-2018;1.43
08-02-2018;1.87
09-02-2018;2.18
10-02-2018;1.89
11-02-2018;1.48
12-02-2018;2.22
13-02-2018;2.15
14-02-2018;13.65
15-02-2018;11.35
16-02-2018;4.91
17-02-2018;1.64
18-02-2018;1.83
19-02-2018;1.51
20-02-2018;1.26
21-02-2018;1.34
22-02-2018;2.03
23-02-2018;2.17
24-02-2018;2.46
25-02-2018;2.84
26-02-2018;1.73
27-02-2018;0.55
28-02-2018;1.67
01-03-2018;6.57
02-03-2018;4
03-03-2018;4.11
04-03-2018;4
05-03-2018;1.64
06-03-2018;1.64
07-03-2018;1.87
08-03-2018;4.15
09-03-2018;2.27
10-03-2018;2.17
11-03-2018;0.41
12-03-2018;0.57
13-03-2018;2.83
14-03-2018;2.8
15-03-2018;2.52
16-03-2018;2.02
17-03-2018;0.8
18-03-2018;0.51
19-03-2018;0.85
20-03-2018;1.04
21-03-2018;1.09
22-03-2018;1.93
23-03-2018;2.03
24-03-2018;0.27
25-03-2018;0.79
26-03-2018;2.26
27-03-2018;1.54
28-03-2018;1.16
29-03-2018;0.5
30-03-2018;0.27
31-03-2018;0.46
01-04-2018;2.29
02-04-2018;4.14
03-04-2018;1.97
04-04-2018;2.07
05-04-2018;3.54
06-04-2018;3.91
07-04-2018;0.61
08-04-2018;0.77
09-04-2018;0.99
10-04-2018;1.22
11-04-2018;1.46
12-04-2018;3.24
13-04-2018;2.48
14-04-2018;1.8
15-04-2018;1.57
16-04-2018;2.02
17-04-2018;3.26
18-04-2018;3.84
19-04-2018;2.75
20-04-2018;1.77
21-04-2018;5.62
22-04-2018;2.3
23-04-2018;1.14
24-04-2018;1.25
25-04-2018;1.36
26-04-2018;1.39
27-04-2018;1.36
28-04-2018;1.1
29-04-2018;1.05
30-04-2018;1.56
01-05-2018;1
02-05-2018;1.56
03-05-2018;1.34
04-05-2018;1.49
05-05-2018;1.47
06-05-2018;1.65
07-05-2018;3.07
08-05-2018;1.26
09-05-2018;1.18
10-05-2018;1.09
11-05-2018;2.02
12-05-2018;1.21
13-05-2018;1.3
14-05-2018;1.17
15-05-2018;1.51
16-05-2018;1.29
17-05-2018;1.26
18-05-2018;1.39
19-05-2018;0.96
20-05-2018;0.98
21-05-2018;1.67
22-05-2018;1.77
23-05-2018;1.98
24-05-2018;1.74
25-05-2018;1.97
26-05-2018;1.07
27-05-2018;1.01
28-05-2018;1.37
29-05-2018;1.59
30-05-2018;2.06
31-05-2018;1.3
01-06-2018;1.41
02-06-2018;1.24
03-06-2018;1.13
04-06-2018;1.57
05-06-2018;1.63
06-06-2018;1.18
07-06-2018;1.33
08-06-2018;1.48
09-06-2018;1.19
10-06-2018;1.35
11-06-2018;1.41
12-06-2018;1.01
13-06-2018;1.17
14-06-2018;2.04
15-06-2018;2.35
16-06-2018;0.93
17-06-2018;0.97
18-06-2018;1.53
19-06-2018;0.96
20-06-2018;1.5
21-06-2018;1.21
22-06-2018;0.99
23-06-2018;1.06
